instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.9004,﻿church,﻿St. Clare's,English,,,,﻿Hardin County,,﻿Elizabethtown,,﻿KY,,,,,,,﻿fra_chambige_901,﻿Rev.,﻿Francis Chambige,,,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9037,﻿church,﻿St. Patrick's,English,,,,﻿Hardin County,,,,﻿KY,,,,,,,﻿fra_chambige_901,﻿Rev.,﻿Francis Chambige,,,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0082,﻿church,﻿St. John Bapt,English,,,,﻿Hardin County,,,,﻿KY,,,,,,,﻿fra_chambige_901,﻿Rev.,﻿Francis Chambige,,,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0082,﻿church,﻿St. John Bapt,English,,,,﻿Hardin County,﻿Hardin County,,,﻿KY,,,,,,﻿attended by Rev. Francis Chambige,﻿fra_chambige_901,﻿Rev.,﻿Francis Chambige,,,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0082,﻿church,﻿St. John Bapt,English,,,,﻿Hardin County,﻿Hardin County,,,﻿KY,,,,,,﻿attended by Rev. Francis Chambige,﻿fra_chambige_901,﻿Rev.,﻿Francis Chambige,,,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0082,﻿church,﻿St. John Bapt,English,,,,﻿Hardin County,﻿Hardin County,,,﻿KY,,,,,,﻿attended by Rev. Francis Chambige,﻿fra_chambige_901,﻿Rev.,﻿Francis Chambige,,,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9017,﻿church,﻿St. Paul's,English,,,,﻿Grayson County,,,,﻿KY,,,,,,,﻿a_degauquier_901,﻿Rev.,﻿A. Degauquier,,,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0064,﻿church,﻿St. Benedict's,English,,,,﻿Grayson County,,,,﻿KY,,,,,,,﻿a_degauquier_901,﻿Rev.,﻿A. Degauquier,,,,,,,,1840,,﻿https://www.findagrave.com/cemetery/468436/saint-benedict-cemetery,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0022,﻿church,﻿St. Augustine's,English,,,,﻿Grayson County,,,,﻿KY,,,,,,,﻿a_degauquier_901,﻿Rev.,﻿A. Degauquier,,,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0054,﻿church,﻿St. Anthony's,English,,,,﻿Breckenridge County,,,,﻿KY,,,,,,,﻿a_degauquier_901,﻿Rev.,﻿A. Degauquier,,,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0054,﻿station,﻿St. Anthony's,English,,,,﻿Grayson County,,,,﻿KY,,,,,﻿visited by Rev. A. Degauquier,,﻿a_degauquier_901,﻿Rev.,﻿A. Degauquier,,,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0054,﻿station,﻿St. Anthony's,English,,,,﻿Grayson County,,,,﻿KY,,,,,﻿visited by Rev. A. Degauquier,,﻿a_degauquier_901,﻿Rev.,﻿A. Degauquier,,,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0054,﻿station,﻿St. Anthony's,English,,,,﻿Grayson County,,,,﻿KY,,,,,﻿visited by Rev. A. Degauquier,,﻿a_degauquier_901,﻿Rev.,﻿A. Degauquier,,,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0054,﻿station,﻿St. Anthony's,English,,,,﻿Grayson County,,,,﻿KY,,,,,﻿visited by Rev. A. Degauquier,,﻿a_degauquier_901,﻿Rev.,﻿A. Degauquier,,,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0054,﻿station,﻿St. Anthony's,English,,,,﻿Grayson County,,,,﻿KY,,,,,﻿visited by Rev. A. Degauquier,,﻿a_degauquier_901,﻿Rev.,﻿A. Degauquier,,,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0054,﻿station,﻿St. Anthony's,English,,,,﻿Grayson County,,,,﻿KY,,,,,﻿visited by Rev. A. Degauquier,,﻿a_degauquier_901,﻿Rev.,﻿A. Degauquier,,,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0054,﻿station,﻿p134,English,,,,﻿Grayson County,,,,﻿KY,,,,,,,,,,,,,,,,,1840,,,﻿,﻿,﻿Bardstown,Bardstown
