instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿erie.pa.0001,﻿cathedral,﻿St. Patrick's,English,﻿High Mass at 10 A.M.; Vespers at 3 P.M.,﻿Fourth st,,﻿Erie County,,﻿City of Erie,﻿Erie,﻿PA,,42.132666,-80.083745,,,,﻿jos_m_young_001,﻿Rt. Rev.,﻿Josue M. Young,﻿D.D.,,,,,,,1859,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0001,﻿cathedral,﻿St. Patrick's,English,﻿High Mass at 10 A.M.; Vespers at 3 P.M.,﻿Fourth st,,﻿Erie County,,﻿City of Erie,﻿Erie,﻿PA,,42.132666,-80.083745,,,,﻿tho_tracy_001,﻿Rev.,﻿Thomas Tracy,,﻿Secretary,,,,,,1859,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0001,﻿cathedral,﻿https://babel.hathitrust.org/cgi/pt?id=wu.89064466717&seq=67,English,﻿High Mass at 10 A.M.; Vespers at 3 P.M.,﻿Fourth st,,﻿Erie County,,﻿City of Erie,﻿Erie,﻿PA,,42.132666,-80.083745,,,,,,,,,,,,,,1859,﻿,﻿,﻿Erie,Erie
