instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,,﻿Boston,﻿Boston,﻿MA,,42.360083,-71.05888,,,,﻿#REF!,﻿Rt. Rev.,﻿John B. Fitzpatrick,﻿D.D.,,,,,,,1860,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,,﻿Boston,﻿Boston,﻿MA,,42.360083,-71.05888,,,,,﻿Rev.,﻿Hilary Tucker,,,,,,,,1860,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,,﻿Boston,﻿Boston,﻿MA,,42.360083,-71.05888,,,,,﻿Rev.,﻿Michael Moran,,,,,,,,1860,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,,﻿Boston,﻿Boston,﻿MA,,42.360083,-71.05888,,,,,﻿Rev.,﻿C. Lyonnet,,,,,,,,1860,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,,﻿Boston,﻿Boston,﻿MA,,42.360083,-71.05888,,,,,﻿Rev.,﻿C. Lynch,,,,,,,,1860,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,,﻿Boston,﻿Boston,﻿MA,,42.360083,-71.05888,,,,,﻿Rev.,﻿J. A. Healey,,﻿Chancellor and Secretary,,,,,,1860,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿chapel,﻿Chapel of the Holy Cross,English,,,,,,﻿Boston,﻿Boston,﻿MA,,42.360083,-71.05888,,,,,﻿Rev.,﻿Charles Lynch,,,,,,,,1860,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿chapel,﻿Chapel of the Guardian Angels,English,,,,,,﻿Boston,﻿Boston,﻿MA,,42.360083,-71.05888,,,,,﻿Rev.,﻿H. Tucker,,,,,,,,1860,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0006,﻿church,﻿Church of St. Vincent de Paul,English,,,,,,﻿Boston,﻿Boston,﻿MA,,42.367662,-71.091123,﻿bos.ma.0001,﻿Cathedral of the Holy Cross,,,,,,,,,,,,1860,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0004,﻿church,﻿St. James Church,English,,,,,,﻿Boston,﻿Boston,﻿MA,,42.32683,-71.086812,,,,,﻿Very Rev.,﻿John J. Williams,﻿V.G.,,,,,,,1860,,,,,,,,,,,﻿,﻿,﻿Boston,Boston
