instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,﻿NY,40.758456,-73.976186,,,,﻿joh_dubois_901,﻿Rt. Rev.,﻿John Dubois,﻿D. D.,﻿Bishop,,,,,,1843,﻿https://saintpatrickscathedral.org/historical-timeline,,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,,40.758456,-73.976186,,,,﻿joh_hughes_901,﻿Rt. Rev.,﻿John Hughes,﻿D. D.,﻿Coadj. and Admin.,,,,,,1843,,,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,,40.758456,-73.976186,,,,﻿wil_starr_001,﻿Rev.,﻿William Starrs,,,,,,,,1843,,,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,,40.758456,-73.976186,,,,﻿joh_laughlin_901,﻿Rev.,﻿Loughlin,,,,,,,,1843,,,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,,40.758456,-73.976186,,,,﻿amb_manahan_902,﻿Rev.,﻿Amb. Manahan,﻿D. D.,,,,,,,1843,,,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0041,﻿cathedral,﻿Cathedral of St. Patrick,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,,40.758456,-73.976186,,,,﻿joh_conroy_901,﻿Rev.,﻿John Conroy,,,"﻿who celebrates mass, and preaches every second Sunday in the chapel of the Bellevue hospital",,,,,1843,,,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0042,﻿church,﻿St. Peter's,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,﻿NY,40.712432,-74.009544,,,,﻿joh_power_901,﻿Very Rev.,﻿John Power,﻿D. D.,,,,,,,1843,﻿https://spcolr.org/st-peters-church-history,,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0042,﻿church,﻿St. Peter's,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,,40.712432,-74.009544,,,,﻿c_c_pise_001,﻿Rev.,﻿Charles C. Pise,﻿D. D.,,,,,,,1843,,,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0042,﻿church,﻿St. Peter's,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,,40.712432,-74.009544,,,,﻿j_t_andrade_901,﻿Rev.,﻿J. T. Andrade,,,,,,,,1843,,,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0043,﻿church,﻿St. Mary's,English,,,,,﻿New York County,﻿New York,﻿New York City,﻿NY,﻿NY,40.715818,-73.985112,,,,﻿wil_j_quarter_001,﻿Rev.,﻿William Quarter,,,,,,,,1843,"﻿https://en.wikipedia.org/wiki/St._Mary_Church_(Grand_Street,_Manhattan)",,﻿,﻿,﻿New York,NewYorkCity
