instID,placeName,orig,reg,sic,corr,city,Cleaned city name,state,Address,Latitude,Longitude,year,church_type,instName,language,instNote,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingPersID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,diocese,diocese_reg
﻿St. Mary's,﻿(new church building),,,,,﻿Lowell,﻿Lowell,﻿MA,"﻿St. Mary's, , Lowell, MA",42.6334247,-71.3161718,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Joseph's,﻿Boston Highlands,,,,,﻿Lowell,﻿Lowell,﻿MA,"﻿St. Joseph's, , Lowell, MA",42.6334247,-71.3161718,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. John's Chapel,,,,,,﻿Lowell,﻿Lowell,﻿MA,"﻿St. John's Chapel, , Lowell, MA",42.6334247,-71.3161718,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Mary's,﻿(new church building),,,,,﻿Lynn,﻿Lynn,﻿MA,"﻿St. Mary's, , Lynn, MA",42.4629887,-70.9507025,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿Immacultate Conception,,,,,,﻿Malden,﻿Malden,﻿MA,"﻿Immacultate Conception, , Malden, MA",42.4247646,-71.0874735,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿Immacultate Conception,,,,,,﻿Mansfield,﻿Mansfield,﻿MA,"﻿, , Mansfield, MA",42.0334565,-71.2190578,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿Star of the Sea,﻿East Boston,,,,,﻿Marblehead,﻿Marblehead,﻿MA,"﻿Star of the Sea, , Marblehead, MA",42.4972713,-70.8584335,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿Immaculate Conception,,,,,,﻿Marlboro,﻿Marlboro,﻿MA,"﻿Immaculate Conception, , Marlboro, MA",42.3471563,-71.551187,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿Immaculate Conception,,,,,,﻿Medford,﻿Medford,﻿MA,"﻿, , Medford, MA",42.4184296,-71.1061639,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿(new church),,,,,,﻿Medway,﻿Medway,﻿MA,"﻿(new church), , Medway, MA",42.141502,-71.3987264,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿(new church),,,,,,﻿Methuen,﻿Methuen,﻿MA,"﻿, , Methuen, MA",42.7262016,-71.1908924,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿(new church),,,,﻿Middleboro,﻿Middleborough,,﻿Middleborough,﻿MA,"﻿, , Middleborough, MA",41.8929942,-70.9107708,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Mary's,﻿(new church building),,,,,﻿Milford,﻿Milford,﻿MA,"﻿St. Mary's, (new church building), Milford, MA",42.1398577,-71.5163049,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Bridget's,,,,,,﻿Millbury,﻿Millbury,﻿MA,"﻿St. Bridget's, , Millbury, MA",42.1920719,-71.761522,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Patrick's,,,,,,﻿Monson,﻿Monson,﻿MA,"﻿St. Patrick's, , Monson, MA",42.1042451,-72.3189519,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
﻿St. Patrick's,,,,,,﻿Nahant,﻿Nahant,﻿MA,"﻿, , Nahant, MA",42.4265633,-70.922279,1870,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,﻿,Boston
