instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿bal.md.0091,﻿church,[Unnamed Institution],English,,,,﻿Montgomery County,﻿Montgomery County,﻿Barnsville,﻿Barnesville,﻿MD,﻿MD,,,,,,,﻿Rev.,﻿M. Gallagher,,,﻿of Rockville,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿wil.de.0012,﻿church,﻿St. Francis Xavier,English,"﻿Post-town, Warwick",,﻿E. Shore,﻿Cecil County,﻿Cecil County,﻿Bohemia,﻿Warwick,﻿MD,﻿MD,,,,,,,﻿Rev.,﻿Geo. King,﻿S. J.,,,,,,,1843,﻿https://www.stfrancisxaviershrine.com/history,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿wil.de.0012,﻿church,﻿St. Francis Xavier,English,"﻿Post-town, Warwick",,﻿E. Shore,﻿Cecil County,﻿Cecil County,﻿Bohemia,﻿Warwick,﻿MD,,,,,,,,﻿Rev.,﻿John B. Carey,﻿S. J.,,,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0104,﻿chapel,﻿Boone's Chapel,English,,,,﻿Prince George County,﻿Prince George County,,﻿Upper Marlboro,﻿MD,﻿MD,,,,,,,,,,,﻿Vacant,,,,,1843,﻿https://www.mostholyrosarychurch.org/history ; would later go on to be Most Holy Rosary,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0063,﻿church,﻿St. Mary's,English,,,,﻿Charles County,﻿Charles County,﻿Bryantown,﻿Bryantown,﻿MD,﻿MD,,,,,﻿1st and 3d Sunday,,,,,,,,,,,1843,﻿https://stmarysbryantown.com/parish-history,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0064,﻿church,[Unnamed Institution],English,,,,﻿Charles County,﻿Charles County,﻿Cob Neck,﻿Cobb Neck,﻿MD,﻿MD,,,﻿bal.md.0069,﻿attended from St. Thomas' manor,﻿1st and 3d Sunday,,,,,,,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0065,﻿church,[Unnamed Institution],English,,,,﻿Charles County,﻿Charles County,﻿Cornwallis Neck,﻿Indian Head,﻿MD,﻿MD,,,﻿bal.md.0069,﻿attended from St. Thomas' manor,,,,,,,,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿wil.de.0013,﻿church,﻿St. Patrick's,English,,﻿Susquehanna Bridge,,,﻿Cecil County,﻿Conowingo,﻿Conowingo,﻿MD,﻿MD,,,,,﻿2d Sunday,,﻿Rev.,﻿J. Reid,,,﻿dw. near Hickory P. O.,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0026,﻿church,﻿St. Mary's,English,,,,﻿Allegany County,﻿Allegany County,﻿Cumberland,﻿Cumberland,﻿MD,﻿MD,,,,,"﻿1st and 3d Sundays, and all holydays",,﻿Rev.,﻿L. Obermeyer,,,,,,,,1843,﻿likely predecessor for this church: https://www.olmcumberland.org/the-shrine-of-ss-peter-and-paul/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0081,﻿church,﻿St. Ignatius,English,,﻿Deer Creek,,﻿Harford County,,﻿Bel-Air,,﻿MD,,,,,,﻿1st and 3d Sundays,,﻿Rev.,﻿J. Reid,,,﻿near Hickory Post Office,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9000,﻿church,﻿St. Mary's,English,,,﻿E. S.,﻿Dorset County,﻿Dorchester County,,,﻿MD,﻿MD,,,,,﻿every two months,,﻿Rev.,﻿G. King,,,,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9000,﻿church,﻿St. Mary's,English,,,﻿E. S.,﻿Kent County,﻿Dorchester County,,,﻿MD,﻿MD,,,,,﻿every two months,,﻿Rev.,﻿G. King,,,,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9000,﻿church,﻿St. Mary's,English,,,﻿E. S.,﻿Cecil County,﻿Dorchester County,﻿Elkton,,﻿MD,﻿MD,,,,,﻿occasionally,,﻿Rev.,﻿G. King,,,,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿wil.de.0022,﻿church,﻿St. Elizabeth's,English,,,﻿E. S.,﻿Caroline County,﻿Caroline County,﻿Denton,﻿Denton,﻿MD,﻿MD,,,,,﻿1st Sunday,,﻿Rev.,﻿James Lucas,,,,,,,,1843,﻿https://www.beparish.com/history,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿wil.de.0016,﻿church,﻿St. Joseph's,English,,,﻿E. S.,﻿Talbot County,﻿Talbot County,﻿Easton,﻿Cordova,﻿MD,﻿MD,,,,,﻿every third Sunday,,﻿Rev.,﻿James Lucas,,,,,,,,1843,﻿https://ssppparisheaston.org/churches/saint-joseph-cordova/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0085,﻿church,[Unnamed Institution],English,,﻿Dougharagen Manor,,﻿Anne Arundel County,﻿Howard County,,﻿Ellicott City,﻿MD,﻿MD,,,,,﻿2d Sunday,,﻿Rev.,﻿B. S. Piot,,,﻿of Ellicott's Mills,,,,,1843,"﻿https://en.wikipedia.org/wiki/Doughoregan_Manor, https://americanaristocracy.com/houses/doughoregan-manor",,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0083,﻿church,﻿St. Paul's,English,,"﻿Ellicott's Mills, Howard District",,﻿Ann Arundel County,,,,﻿MD,,,,,,"﻿1st, 3d, 4th, and 5th Sundays",,﻿Rev.,﻿B. S. Piot,,,,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0073,﻿church,﻿St. Joseph's,English,,,,﻿Frederick County,﻿Frederick County,﻿Emmittsburg,﻿Emmitsburg,﻿MD,﻿MD,,,,,,,﻿Rev.,﻿Ph. Borgna,,,,,,,,1843,﻿https://www.stjosephcatholicchurchemmitsburg.com/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0070,﻿church,﻿St. John's,English,,,,,﻿Cecil County,﻿Frederick,﻿Frederick,﻿MD,﻿MD,,,,,,,﻿Rev.,﻿John McElroy,﻿S. J.,﻿Super.,,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0070,﻿church,﻿St. John's,English,,,,,﻿Cecil County,﻿Frederick,﻿Frederick,﻿MD,,,,,,,,﻿Rev.,﻿B. A. Young,﻿S. J.,,,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0070,﻿church,﻿St. John's,English,,,,,﻿Cecil County,﻿Frederick,﻿Frederick,﻿MD,,,,,,,,﻿Rev.,﻿James Power,﻿S. J.,,,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0034,﻿church,[Unnamed Institution],English,,﻿Fifteen Mile Creek,,﻿Alleghany County,﻿Allegany County,,﻿Little Orleans,﻿MD,﻿MD,,,,,,,﻿Rev.,﻿Michael Guth,,,﻿dw. at Hagerstown,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0108,﻿church,[Unnamed Institution],English,,,,﻿Washington County,﻿Washington County,﻿Hagerstown,﻿Hagerstown,﻿MD,﻿MD,,,,,,,﻿Rev.,﻿Michael Guth,,,﻿dw. at Hagerstown,,,,,1843,﻿https://saintmarysonline.org/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0109,﻿church,[Unnamed Institution],English,﻿Church not ded.,,,﻿Washington County,,﻿Hancock,,﻿MD,﻿MD,,,,,,,﻿Rev.,﻿Michael Guth,,,﻿dw. at Hagerstown,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0109,﻿church,[Unnamed Institution],English,﻿A lot has been secured here for the erection of a church,,,﻿Harford County,,﻿Havre de Grace,,﻿MD,﻿MD,,,,,﻿5th Sund.,,﻿Rev.,﻿J. Reid,,,,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.9012,﻿church,[Unnamed Institution],English,,﻿Harbaugh's Valley,,,﻿Frederick County,,,﻿MD,﻿MD,,,,﻿attended from Mt. St. Mary's,﻿monthly,,,,,,,,,,,1843,"﻿https://www.google.com/url?q=https://harbaugh.uoregon.edu/History/WKH%2520memoir,%25201%2520of%25204.pdf&sa=D&source=editors&ust=1748979744807151&usg=AOvVaw2m5s9uEiZKVE21steDGDLt",,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0099,﻿chapel,﻿Lady's Chapel,English,,,,﻿St. Mary's County,﻿St. Mary's County,,﻿Leonardtown,﻿MD,﻿MD,,,﻿bal.md.0098,﻿attended from Newtown,,,,,,,,,,,,1843,﻿https://ourladyschurch.org/history ; https://adw.org/parishes/our-ladys-church/,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0048,﻿church,﻿St. John Ev.,English,,,,﻿Baltimore County,,﻿Long Green,,﻿MD,,,,,,﻿4th Sund.,,﻿Rev.,﻿J. Reid,,,﻿of Deer Creek,,,,,1843,,,,,﻿,﻿,﻿Baltimore,Baltimore
﻿bal.md.0075,﻿church,﻿St. Peter's,English,,,,﻿Frederick County,﻿Frederick County,﻿Liberty,﻿Libertytown,﻿MD,﻿MD,,,﻿bal.md.0070,﻿attended from Fred'k,,,,,,,,,,,,1843,﻿https://www.stpeter-libertytown.org/about,,,,﻿,﻿,﻿Baltimore,Baltimore
